day,test,dead,rec,hoscum,icu,hosact
       1,      33,      17,       3,      16,      11,       7
       2,      80,      20,       4,      26,      10,      10
       3,     120,      23,       5,      32,      12,       6
       4,     161,      26,       7,      42,      15,      10
       5,     202,      29,       8,      51,      15,       9
       6,     234,      32,       8,      64,      18,      13
       7,     279,      36,       9,      72,      20,       8
       8,     351,      44,      13,      90,      26,      18
       9,     429,      55,      19,     113,      30,      23
      10,     566,      62,      26,     135,      36,      22
      11,     734,      72,      29,     177,      45,      42
      12,     921,      87,      36,     229,      67,      52
      13,    1143,     109,      45,     291,      78,      62
      14,    1365,     122,      54,     344,      94,      53
      15,    1599,     144,      65,     409,     118,      65
      16,    1870,     183,     102,     544,     146,     135
      17,    2242,     225,     133,     675,     174,     131
      18,    2702,     283,     167,     836,     224,     161
      19,    3218,     347,     214,    1059,     281,     223
      20,    3915,     402,     282,    1278,     356,     219
      21,    4585,     462,     359,    1461,     426,     183
      22,    5127,     522,     429,    1687,     479,     226
      23,    5747,     617,     529,    2086,     570,     399
      24,    6872,     690,     675,    2482,     651,     396
      25,    7923,     765,     819,    2913,     750,     431
      26,    8976,     859,    1013,    3345,     836,     432
      27,   10155,     959,    1259,    3893,     922,     548
      28,   11146,    1015,    1444,    4195,     989,     302
      29,   11894,    1096,    1636,    4436,    1039,     241
      30,   12703,    1167,    1909,    4825,    1128,     389
      31,   13833,    1258,    2220,    5137,    1191,     312
      32,   14876,    1319,    2490,    5444,    1208,     307
      33,   15909,    1387,    2749,    5777,    1252,     333
      34,   17136,    1468,    3048,    6105,    1280,     328
      35,   18236,    1513,    3229,    6292,    1282,     187
      36,   19095,    1571,    3402,    6502,    1303,     210
      37,   19869,    1630,    3677,    6824,    1311,     322
      38,   20959,    1701,    3938,    7058,    1312,     234
      39,   22308,    1749,    4236,    7270,    1283,     212
      40,   23626,    1797,    4475,    7464,    1280,     194
      41,   25025,    1849,    4732,    7684,    1285,     220
      42,   26083,    1882,    4874,    7828,    1251,     144
      43,   26910,    1920,    5017,    7975,    1233,     147
      44,   27668,    1974,    5134,    8152,    1220,     177
      45,   28487,    2006,    5290,    8328,    1193,     176
      46,   29603,    2042,    5469,    8447,    1168,     119
      47,   30777,    2082,    5616,    8572,    1136,     125
      48,   32056,    2116,    5790,    8724,    1106,     152
      49,   33053,    2146,    5875,    8809,    1059,      85
      50,   33679,    2176,    5934,    8893,    1029,      84
      51,   34270,    2208,    6068,    9012,    1009,     119
      52,   34983,    2245,    6220,    9146,     973,     134
      53,   35958,    2274,    6343,    9249,     917,     103
      54,   36757,    2308,    6456,    9370,     876,     121
      55,   37421,    2329,    6608,    9476,     859,     106
      56,   37995,    2347,    6675,    9535,     829,      59
      57,   38374,    2368,    6740,    9597,     806,      62
      58,   38549,    2390,    6816,    9671,     783,      74
      59,   38943,    2405,    6926,    9784,     761,     113
      60,   39403,    2416,    7006,    9861,     733,      77
      61,   39908,    2442,    7101,    9942,     708,      81
      62,   40401,    2450,    7202,   10007,     673,      65
      63,   40716,    2466,    7246,   10047,     633,      40
      64,   40891,    2478,    7267,   10092,     620,      45
      65,   41175,    2491,    7357,   10170,     611,      78
      66,   41426,    2501,    7400,   10206,     569,      36
      67,   41729,    2519,    7465,   10275,     542,      69
      68,   42028,    2532,    7536,   10333,     521,      58
      69,   42356,    2549,    7611,   10408,     489,      75
      70,   42607,    2559,    7653,   10445,     467,      37
      71,   42760,    2566,    7678,   10486,     450,      41
      72,   42929,    2579,    7744,   10552,     444,      66
      73,   43147,    2585,    7817,   10603,     403,      51
