day	icucum	icudead	icurec	icupres	hosprec	hoscum
1	11	0	1	11	0	16
2	11	0	1	10	0	26
3	13	0	1	12	0	32
4	16	0	1	15	2	42
5	18	0	1	15	2	51
6	21	0	2	18	2	64
7	24	0	1	20	3	72
8	30	2	1	26	3	90
9	37	2	2	30	3	113
10	46	2	2	36	3	135
11	56	3	2	45	3	177
12	79	4	2	67	3	229
13	93	4	2	78	4	291
14	111	5	5	94	6	344
15	139	9	8	118	6	409
16	172	14	9	146	7	544
17	207	16	12	174	7	675
18	262	21	13	224	10	836
19	326	28	15	281	10	1059
20	413	33	21	356	12	1278
21	496	45	27	426	14	1461
22	569	51	29	479	17	1687
23	669	68	41	570	19	2086
24	781	75	46	651	23	2482
25	900	87	56	750	27	2913
26	1013	109	58	836	37	3345
27	1130	123	73	922	43	3893
28	1235	140	89	989	47	4195
29	1328	166	100	1039	58	4436
30	1461	185	119	1128	67	4825
31	1571	217	127	1191	83	5137
32	1645	237	137	1208	101	5444
33	1743	260	149	1252	115	5777
34	1822	293	157	1280	137	6105
35	1887	312	175	1282	150	6292
36	1963	334	195	1303	160	6502
37	2025	353	211	1311	181	6824
38	2083	386	243	1312	202	7058
39	2143	402	256	1283	226	7270
40	2194	413	261	1280	254	7464
41	2243	442	268	1285	280	7684
42	2272	457	288	1251	299	7828
43	2307	470	314	1233	316	7975
44	2353	492	340	1220	331	8152
45	2389	502	336	1193	378	8328
46	2413	520	334	1168	430	8447
47	2442	538	321	1136	478	8572
48	2468	557	325	1106	521	8724
49	2486	571	342	1059	543	8809
50	2506	587	365	1029	549	8893
51	2533	606	350	1009	605	9012
52	2555	627	350	973	655	9146
53	2570	644	345	917	698	9249
54	2586	658	325	876	742	9370
55	2605	670	294	859	802	9476
56	2619	680	299	829	819	9535
57	2632	693	317	806	826	9597
58	2647	705	333	783	836	9671
59	2662	709	321	761	883	9784
60	2674	715	321	733	920	9861
61	2692	726	312	708	959	9942
62	2701	729	314	673	999	10007
63	2710	739	314	633	1014	10047
64	2721	744	326	620	1021	10092
65	2734	750	324	611	1061	10170
66	2737	756	340	569	1072	10206
67	2743	761	333	542	1108	10275
68	2753	769	329	521	1144	10333
69	2760	774	318	489	1177	10408
70	2765	780	326	467	1186	10445
71	2770	782	335	450	1189	10486
72	2778	789	334	444	1226	10552
73	2781	791	311	403	1268	10603
74	2785	795	307	385	1300	10661
75	2795	798	295	362	1328	10703
76	2799	804	275	345	1363	10759
77	2808	805	275	330	1373	10780
78	2813	805	280	324	1377	10821
79	2817	806	282	318	1410	10877
80	2819	808	266	285	1439	10901
81	2822	813	254	274	1467	10945
82	2824	817	260	253	1473	10966
83	2827	820	243	240	1506	11011
84	2830	820	246	224	1509	11029
85	2837	822	256	224	1509	11060
86	2838	823	260	214	1531	11110
87	2842	825	254	191	1549	11147
88	2846	826	239	176	1573	11179
89	2847	828	221	168	1602	11204
90	2850	831	210	158	1621	11239
91	2852	831	206	148	1627	11264
92	2855	831	213	149	1627	11278
93	2859	833	215	146	1627	11296
94	2860	833	207	143	1652	11327
95	2865	838	193	131	1671	11352
96	2870	840	179	127	1688	11383
97	2873	840	171	124	1698	11403
98	2876	842	172	124	1700	11412
99	2879	842	173	123	1702	11422
100	2881	842	166	122	1718	11436
101	2883	842	159	114	1729	11455
102	2887	843	150	113	1742	11465
103	2888	844	147	109	1751	11490
104	2891	845	142	106	1759	11499
105	2893	846	142	104	1759	11508
106	2893	848	142	103	1760	11515
107	2894	849	136	101	1777	11523
108	2896	851	136	91	1781	11535
109	2896	852	136	84	1787	11545
110	2897	853	136	77	1794	11561
111	2898	854	128	71	1804	11576
112	2900	855	131	69	1804	11584
113	2900	856	131	65	1804	11599
114	2904	857	133	68	1809	11612
115	2905	858	134	61	1813	11630
116	2907	859	131	57	1819	11644
117	2907	859	129	53	1825	11658
118	2907	860	129	49	1829	11667
119	2907	861	132	45	1829	11669
120	2907	861	132	41	1829	11682
121	2907	861	129	41	1834	11697
122	2909	861	127	41	1839	11706
123	2909	861	128	37	1839	11714
124	2911	862	127	38	1842	11721
125	2911	862	123	35	1846	11731
126	2913	862	125	37	1846	11733
127	2913	862	125	35	1847	11743
128	2913	863	122	34	1850	11759
